NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
CHEVROLET CONTORNO ARACAJU                                                                     ,"4,4"                              ,(1.394)                                 ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
SERGIPE VEICULOS                                                                               ,"4,6"                              ,(34)                                    ,"AV. PEDRO CALAZANS, 922 - CENTRO, ARACAJU - SE, 49055-520"                                                                                                           ,Revendedora de carros usados           ,Contato não disponível
NETTO VEÍCULOS - O DIFERENCIADO- CARROS SEMINOVOS EM ARACAJU                                   ,"4,9"                              ,(248)                                   ,"AV. MARANHÃO, 12 - SANTO ANTÔNIO, ARACAJU - SE, 49060-400"                                                                                                           ,Concessionária                         ,Contato não disponível
GORDINHO AUTOMÓVEIS ARACAJU-SE                                                                 ,"4,8"                              ,(76)                                    ,"AV. CARLOS BURLAMARQUI, 785 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Revendedora de carros usados           ,(79) 99952-1858
MATOS VEÍCULOS                                                                                 ,"4,8"                              ,(42)                                    ,"AV. JOÃO RIBEIRO, 537 - SANTO ANTÔNIO, ARACAJU - SE, 49060-330"                                                                                                      ,Revendedora de carros usados           ,Contato não disponível
EDSON VEÍCULOS                                                                                 ,"4,5"                              ,(85)                                    ,"AV. PEDRO CALAZANS, 92 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                    ,Revendedora de carros usados           ,Contato não disponível
ORIGINAL VEÍCULOS                                                                              ,"4,9"                              ,(16)                                    ,"AV. ENG. GENTIL TAVARES, 175 - GETÚLIO VARGAS, ARACAJU - SE, 49060-400"                                                                                              ,Revendedora de carros usados           ,Contato não disponível
KM VEÍCULOS                                                                                    ,"4,6"                              ,(41)                                    ,"AV. COELHO E CAMPOS, 989 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                  ,Concessionária                         ,"3WVR+9J Getúlio Vargas, Aracaju - SE"
GUIMA AUTOMÓVEIS                                                                               ,"4,1"                              ,(44)                                    ,"AV. HERMES FONTES, 288 - SUÍÇA, ARACAJU - SE, 49052-000"                                                                                                             ,Revendedora de carros usados           ,Contato não disponível
"MARACAR VEÍCULOS: CONCESSIONÁRIA, CARROS, SEMINOVOS, VOLKSWAGEN EM ARACAJU SE"                ,"4,1"                              ,(592)                                   ,"AV. PRES. TANCREDO NEVES, 1254 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Volkswagen              ,"2WXP+G9 Jardins, Aracaju - SE"
"SAMAM SEMINOVOS: CARROS USADOS, CONCESSIONÁRIA, CARROS SEMINOVOS, ARACAJU SE"                 ,"4,1"                              ,(107)                                   ,"R. BASÍLIO ROCHA, 72 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Revendedora de carros usados           ,Contato não disponível
ISAÍAS AUTOMÓVEIS                                                                              ,"4,5"                              ,(157)                                   ,"AV. COELHO E CAMPOS, 750 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,"3WVV+HC Santo Antônio, Aracaju - SE"
VIP AUTOMÓVEIS ARACAJU                                                                         ,"4,6"                              ,(110)                                   ,"AV. PEDRO CALAZANS, 757 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Concessionária                         ,Contato não disponível
GARAGEM 87 MULTIMARCAS                                                                         ,"4,8"                              ,(84)                                    ,"SÃO JOSÉ, ARACAJU - SE, 49010-340"                                                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
RAFAEL AUTOMÓVEIS                                                                              ,"4,8"                              ,(93)                                    ,"AV. PEDRO CALAZANS, 236 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
HIDROCAR VEÍCULOS                                                                              ,"4,7"                              ,(79)                                    ,"AV. PEDRO CALAZANS, 998 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
TOP VEÍCULOS                                                                                   ,"4,1"                              ,(14)                                    ,"AV. COELHO E CAMPOS, 664 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
CHEVROLET CONCORDE ARACAJÚ                                                                     ,"4,3"                              ,(340)                                   ,"AV. GONÇALO ROLEMBERG LEITE, 1501 - LUZIA, ARACAJU - SE, 49045-280"                                                                                                  ,Concessionária Chevrolet               ,Contato não disponível
BARÃO AUTOMÓVEIS                                                                               ,"4,6"                              ,(97)                                    ,"AV. PEDRO CALAZANS, 107A - CENTRO, ARACAJU - SE, 49010-490"                                                                                                          ,Revendedora de carros usados           ,(79) 99824-7290
DISCAR                                                                                         ,"4,3"                              ,(399)                                   ,"R. ALDA MESQUITA TEIXEIRA, 235 - COROA DO MEIO, ARACAJU - SE, 49035-810"                                                                                             ,Concessionária                         ,(79) 4009-2600
DESTAQUE SEMINOVOS                                                                             ,"5,0"                              ,(56)                                    ,"AV. PEDRO CALAZANS, 201 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Revendedora de carros usados           ,"3WRV+P3 Centro, Aracaju - SE"
ATLANTIC MULTIMARCAS                                                                           ,"4,0"                              ,(31)                                    ,"AV. HERMES FONTES, 728 - SUÍÇA, ARACAJU - SE, 49050-000"                                                                                                             ,Revendedora de carros usados           ,Contato não disponível
ACESSO VEÍCULOS & FINANCIAMENTOS                                                               ,"4,6"                              ,(73)                                    ,"AV. DEP. AIRTON TÉLES, 850 - SANTO ANTÔNIO, ARACAJU - SE, 49060-120"                                                                                                 ,Concessionária de veículos motorizados ,"3WVR+XV Santo Antônio, Aracaju - SE"
ARACAJU AUTOMOVEIS                                                                             ,"4,7"                              ,(9)                                     ,"AV. COELHO E CAMPOS, 1180 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,Concessionária                         ,"3WVQ+FV Santo Antônio, Aracaju - SE"
MICA AUTOMÓVEIS                                                                                ,"4,2"                              ,(83)                                    ,"AVENIDA CARLOS BURLAMARQUI, 694 AVENIDA COELHO E CAMPOS, 923 AVENIDA CARLOS BURLAMARQUI, 697, AV. CARLOS BURLAMARQUI, 705 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150" ,Revendedora de carros usados           ,Contato não disponível
IMPACTO VEICULOS AJU                                                                           ,"5,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 1138 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                    ,Revendedora de carros usados           ,Contato não disponível
MARVEL VEÍCULOS SEMI-NOVOS                                                                     ,"4,5"                              ,(22)                                    ,"R. MARUIM, 1749 - GETÚLIO VARGAS, ARACAJU - SE, 49055-440"                                                                                                           ,Revendedora de carros usados           ,Contato não disponível
"SAMAM FIAT MATRIZ: CARROS NOVOS, FASTBACK, CRONOS, TROCA DE ÓLEO, ARACAJU SE"                 ,"4,3"                              ,(700)                                   ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Concessionária da Fiat                 ,Contato não disponível
