NOME DO ESTABELECIMENTO                               ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                     ,TIPO DE ESTABELECIMENTO                      ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                                            ,NUMERO ,BAIRRO ,CEP
POSTO SHELL                                           ,"4,1"                              ,(165)                                   ,"R. DELMIRO GOUVÊIA, 500 - SL A - COROA DO MEIO, ARACAJU - SE, 49035-500"             ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. DELMIRO GOUVÊIA                                    ,   500 ,       ,49035-500
POSTO CAMINHO DO MAR                                  ,"4,2"                              ,(160)                                   ,"RUA POETA MARIO JORGE MENEZES VIEIRA, 3444 - COROA DO MEIO, ARACAJU - SE, 49035-660" ,POSTO DE COMBUSTÍVEL                         ,(79) 98125-2688            ,RUA POETA MARIO JORGE MENEZES VIEIRA                  ,  3444 ,       ,49035-660
POSTO PETROX + GNV | 13 DE JULHO                      ,"4,4"                              ,(464)                                   ,"AV. GOV. PAULO BARRETO DE MENEZES, 770 - 13 DE JULHO, ARACAJU - SE, 49020-010"       ,POSTO DE COMBUSTÍVEL                         ,(79) 99932-7658            ,AV. GOV. PAULO BARRETO DE MENEZES                     ,   770 ,       ,49020-010
POSTO EKO                                             ,"3,2"                              ,(114)                                   ,"AV. PRES. TANCREDO NEVES, 670 - JARDINS, ARACAJU - SE, 49025-620"                    ,POSTO DE COMBUSTÍVEL                         ,(79) 99974-2718            ,AV. PRES. TANCREDO NEVES                              ,   670 ,       ,49025-620
POSTO TRAMANDAÍ                                       ,"4,3"                              ,(150)                                   ,"AV. FRANCISCO PORTO, 140 - 13 DE JULHO, ARACAJU - SE, 49020-120"                     ,POSTO DE COMBUSTÍVEL                         ,(79) 4009-5400             ,AV. FRANCISCO PORTO                                   ,   140 ,       ,49020-120
POSTO PETROBRAS                                       ,"4,2"                              ,(88)                                    ,"AV. PEDRO VALADARES, 680 - GRAGERU, ARACAJU - SE, 49025-090"                         ,POSTO DE COMBUSTÍVEL                         ,(79) 3248-5555             ,AV. PEDRO VALADARES                                   ,   680 ,       ,49025-090
POSTO PETROX ALPHA 3                                  ,"4,2"                              ,(205)                                   ,"AV. PRES. TANCREDO NEVES, 55-107 - INÁCIO BARBOSA, ARACAJU - SE, 49040-490"          ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. PRES. TANCREDO NEVES                              ,    55 ,       ,49040-490
POSTO PETROBRAS                                       ,"4,2"                              ,(72)                                    ,"AV. FRANCISCO PORTO, 650 - SALGADO FILHO, ARACAJU - SE, 49020-120"                   ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. FRANCISCO PORTO                                   ,   650 ,       ,49020-120
POSTO SHELL                                           ,"4,2"                              ,(177)                                   ,"AV. FRANCISCO PORTO, 140 - JARDINS, ARACAJU - SE, 49020-120"                         ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. FRANCISCO PORTO                                   ,   140 ,       ,49020-120
POSTO AUTO CENTER                                     ,"4,1"                              ,(196)                                   ,"AV. ADÉLIA FRANCO, 2234 - LUZIA, ARACAJU - SE, 49048-010"                            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. ADÉLIA FRANCO                                     ,  2234 ,       ,49048-010
POSTO PETROX URQUIZA LEAL - MATRIZ                    ,"4,1"                              ,(359)                                   ,"R. URQUIZA LEAL, 118 - SALGADO FILHO, ARACAJU - SE, 49020-490"                       ,POSTO DE COMBUSTÍVEL                         ,(79) 3225-4300             ,R. URQUIZA LEAL                                       ,   118 ,       ,49020-490
POSTO PETROBRAS                                       ,"4,3"                              ,(178)                                   ,"AV. GOV. PAULO BARRETO DE MENEZES, 6 - SÃO JOSÉ, ARACAJU - SE, 49020-010"            ,POSTO DE COMBUSTÍVEL                         ,(79) 3179-7042             ,AV. GOV. PAULO BARRETO DE MENEZES                     ,     6 ,       ,49020-010
POSTO PETROBRAS                                       ,"3,0"                              ,(1)                                     ,"R.POETA, AV. MARIO JORGE MENEZES VIÊIRA, 3444, ARACAJU - SE, 49035-660"              ,POSTO DE COMBUSTÍVEL                         ,(79) 98125-2688            ,R.POETA                                               ,       ,       ,49035-660
POSTO PETROX ALPHA IV                                 ,"4,0"                              ,(130)                                   ,"R. ZAQUEU BRANDÃO, 442 - SÃO JOSÉ, ARACAJU - SE, 49015-330"                          ,POSTO DE COMBUSTÍVEL                         ,(79) 99948-3197            ,R. ZAQUEU BRANDÃO                                     ,   442 ,       ,49015-330
POSTO SHELL + GNV                                     ,"4,1"                              ,(507)                                   ,"AV. HERMES FONTES, SN - GRAGERU, ARACAJU - SE, 49026-020"                            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. HERMES FONTES                                     ,       ,       ,49026-020
POSTO SHELL                                           ,"4,1"                              ,(76)                                    ,"ANEXO POSTO - AV. DEPUTADO SÍLVIO TEIXEIRA, 1020 - JARDINS, ARACAJU - SE, 49025-100" ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,ANEXO POSTO - AV. DEPUTADO SÍLVIO TEIXEIRA            ,  1020 ,       ,49025-100
POSTO PETROBRAS                                       ,"4,4"                              ,(362)                                   ,"FAROLÂNDIA, ARACAJU - SE"                                                            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,FAROLÂNDIA                                            ,       ,       ,
