NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                                                                                                     ,TIPO DE ESTABELECIMENTO                ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                          ,NUMERO  ,BAIRRO          ,CEP
CHEVROLET CONTORNO ARACAJU                                                                     ,"4,4"                              ,(1.394)                                 ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,CONCESSIONÁRIA CHEVROLET               ,(79) 2107-9400             ,AV. PRES. TANCREDO NEVES            ,1550    ,JARDINS         ,49025-620
SERGIPE VEICULOS                                                                               ,"4,6"                              ,(34)                                    ,"AV. PEDRO CALAZANS, 922 - CENTRO, ARACAJU - SE, 49055-520"                                                                                                           ,REVENDEDORA DE CARROS USADOS           ,(79) 3304-4956             ,AV. PEDRO CALAZANS                  ,922     ,CENTRO          ,49055-520
NETTO VEÍCULOS - O DIFERENCIADO- CARROS SEMINOVOS EM ARACAJU                                   ,"4,9"                              ,(248)                                   ,"AV. MARANHÃO, 12 - SANTO ANTÔNIO, ARACAJU - SE, 49060-400"                                                                                                           ,CONCESSIONÁRIA                         ,(79) 99649-1011            ,AV. MARANHÃO                        ,12      ,SANTO ANTÔNIO   ,49060-400
GORDINHO AUTOMÓVEIS ARACAJU-SE                                                                 ,"4,8"                              ,(76)                                    ,"AV. CARLOS BURLAMARQUI, 785 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,REVENDEDORA DE CARROS USADOS           ,(79) 99952-1858            ,AV. CARLOS BURLAMARQUI              ,785     ,GETÚLIO VARGAS  ,49055-150
MATOS VEÍCULOS                                                                                 ,"4,8"                              ,(42)                                    ,"AV. JOÃO RIBEIRO, 537 - SANTO ANTÔNIO, ARACAJU - SE, 49060-330"                                                                                                      ,REVENDEDORA DE CARROS USADOS           ,(79) 99174-5216            ,AV. JOÃO RIBEIRO                    ,537     ,SANTO ANTÔNIO   ,49060-330
EDSON VEÍCULOS                                                                                 ,"4,5"                              ,(85)                                    ,"AV. PEDRO CALAZANS, 92 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                    ,REVENDEDORA DE CARROS USADOS           ,(79) 99127-2103            ,AV. PEDRO CALAZANS                  ,92      ,GETÚLIO VARGAS  ,49055-520
ORIGINAL VEÍCULOS                                                                              ,"4,9"                              ,(16)                                    ,"AV. ENG. GENTIL TAVARES, 175 - GETÚLIO VARGAS, ARACAJU - SE, 49060-400"                                                                                              ,REVENDEDORA DE CARROS USADOS           ,(79) 99806-4406            ,AV. ENG. GENTIL TAVARES             ,175     ,GETÚLIO VARGAS  ,49060-400
KM VEÍCULOS                                                                                    ,"4,6"                              ,(41)                                    ,"AV. COELHO E CAMPOS, 989 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                  ,CONCESSIONÁRIA                         ,(79) 98166-6505            ,AV. COELHO E CAMPOS                 ,989     ,GETÚLIO VARGAS  ,49055-180
GUIMA AUTOMÓVEIS                                                                               ,"4,1"                              ,(44)                                    ,"AV. HERMES FONTES, 288 - SUÍÇA, ARACAJU - SE, 49052-000"                                                                                                             ,REVENDEDORA DE CARROS USADOS           ,(79) 99814-8001            ,AV. HERMES FONTES                   ,288     ,SUÍÇA           ,49052-000
"MARACAR VEÍCULOS: CONCESSIONÁRIA, CARROS, SEMINOVOS, VOLKSWAGEN EM ARACAJU SE"                ,"4,1"                              ,(593)                                   ,"AV. PRES. TANCREDO NEVES, 1254 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,CONCESSIONÁRIA VOLKSWAGEN              ,(79) 3212-6350             ,AV. PRES. TANCREDO NEVES            ,1254    ,JARDINS         ,49025-620
CHEVROLET CONCORDE ARACAJU                                                                     ,"4,3"                              ,(340)                                   ,"AV. GONÇALO ROLEMBERG LEITE, 1501 - LUZIA, ARACAJU - SE, 49045-280"                                                                                                  ,CONCESSIONÁRIA CHEVROLET               ,(79) 3231-6544             ,AV. GONÇALO ROLEMBERG LEITE         ,1501    ,LUZIA           ,49045-280
"SAMAM SEMINOVOS: CARROS USADOS, CONCESSIONÁRIA, CARROS SEMINOVOS, ARACAJU SE"                 ,"4,1"                              ,(107)                                   ,"R. BASÍLIO ROCHA, 72 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,REVENDEDORA DE CARROS USADOS           ,(79) 3212-7150             ,R. BASÍLIO ROCHA                    ,72      ,GETÚLIO VARGAS  ,49055-110
ISAÍAS AUTOMÓVEIS                                                                              ,"4,5"                              ,(157)                                   ,"AV. COELHO E CAMPOS, 750 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3205-1386             ,AV. COELHO E CAMPOS                 ,750     ,SANTO ANTÔNIO   ,49060-000
VIP AUTOMÓVEIS ARACAJU                                                                         ,"4,6"                              ,(110)                                   ,"AV. PEDRO CALAZANS, 757 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,CONCESSIONÁRIA                         ,(79) 3214-4767             ,AV. PEDRO CALAZANS                  ,757     ,CENTRO          ,49010-490
RAFAEL AUTOMÓVEIS                                                                              ,"4,8"                              ,(93)                                    ,"AV. PEDRO CALAZANS, 236 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3211-2750             ,AV. PEDRO CALAZANS                  ,236     ,GETÚLIO VARGAS  ,49055-520
ARACAJU AUTOMOVEIS                                                                             ,"4,7"                              ,(10)                                    ,"AV. COELHO E CAMPOS, 1180 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,CONCESSIONÁRIA                         ,(79) 99193-4876            ,AV. COELHO E CAMPOS                 ,1180    ,SANTO ANTÔNIO   ,49060-000
HIDROCAR VEÍCULOS                                                                              ,"4,7"                              ,(79)                                    ,"AV. PEDRO CALAZANS, 998 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3211-3843             ,AV. PEDRO CALAZANS                  ,998     ,GETÚLIO VARGAS  ,49055-520
GARAGEM 87 MULTIMARCAS                                                                         ,"4,7"                              ,(83)                                    ,"SÃO JOSÉ, ARACAJU - SE, 49010-340"                                                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3023-5993             ,SÃO JOSÉ                            ,ARACAJU ,                ,49010-340
TOP VEÍCULOS                                                                                   ,"4,1"                              ,(14)                                    ,"AV. COELHO E CAMPOS, 664 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3025-5355             ,AV. COELHO E CAMPOS                 ,664     ,SANTO ANTÔNIO   ,49060-000
BARÃO AUTOMÓVEIS                                                                               ,"4,6"                              ,(97)                                    ,"AV. PEDRO CALAZANS, 107A - CENTRO, ARACAJU - SE, 49010-490"                                                                                                          ,REVENDEDORA DE CARROS USADOS           ,(79) 99824-7290            ,AV. PEDRO CALAZANS                  ,107A    ,CENTRO          ,49010-490
DISCAR                                                                                         ,"4,3"                              ,(399)                                   ,"R. ALDA MESQUITA TEIXEIRA, 235 - COROA DO MEIO, ARACAJU - SE, 49035-810"                                                                                             ,CONCESSIONÁRIA                         ,(79) 4009-2600             ,R. ALDA MESQUITA TEIXEIRA           ,235     ,COROA DO MEIO   ,49035-810
DESTAQUE SEMINOVOS                                                                             ,"5,0"                              ,(56)                                    ,"AV. PEDRO CALAZANS, 201 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,REVENDEDORA DE CARROS USADOS           ,(79) 99816-5040            ,AV. PEDRO CALAZANS                  ,201     ,CENTRO          ,49010-490
ATLANTIC MULTIMARCAS                                                                           ,"4,0"                              ,(31)                                    ,"AV. HERMES FONTES, 728 - SUÍÇA, ARACAJU - SE, 49050-000"                                                                                                             ,REVENDEDORA DE CARROS USADOS           ,(79) 3512-1645             ,AV. HERMES FONTES                   ,728     ,SUÍÇA           ,49050-000
ACESSO VEÍCULOS & FINANCIAMENTOS                                                               ,"4,6"                              ,(73)                                    ,"AV. DEP. AIRTON TÉLES, 850 - SANTO ANTÔNIO, ARACAJU - SE, 49060-120"                                                                                                 ,CONCESSIONÁRIA DE VEÍCULOS MOTORIZADOS ,(79) 3215-7704             ,AV. DEP. AIRTON TÉLES               ,850     ,SANTO ANTÔNIO   ,49060-120
MICA AUTOMÓVEIS                                                                                ,"4,2"                              ,(83)                                    ,"AVENIDA CARLOS BURLAMARQUI, 694 AVENIDA COELHO E CAMPOS, 923 AVENIDA CARLOS BURLAMARQUI, 697, AV. CARLOS BURLAMARQUI, 705 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150" ,REVENDEDORA DE CARROS USADOS           ,(79) 3222-3332             ,AVENIDA CARLOS BURLAMARQUI          ,694     ,GETÚLIO VARGAS  ,49055-150
IMPACTO VEICULOS AJU                                                                           ,"5,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 1138 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                    ,REVENDEDORA DE CARROS USADOS           ,(79) 99825-4651            ,AV. COELHO E CAMPOS                 ,1138    ,18 DO FORTE     ,49060-000
MARVEL VEÍCULOS SEMI-NOVOS                                                                     ,"4,5"                              ,(22)                                    ,"R. MARUIM, 1749 - GETÚLIO VARGAS, ARACAJU - SE, 49055-440"                                                                                                           ,REVENDEDORA DE CARROS USADOS           ,(79) 99955-6589            ,R. MARUIM                           ,1749    ,GETÚLIO VARGAS  ,49055-440
"SAMAM FIAT MATRIZ: CARROS NOVOS, FASTBACK, CRONOS, TROCA DE ÓLEO, ARACAJU SE"                 ,"4,3"                              ,(700)                                   ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,CONCESSIONÁRIA DA FIAT                 ,(79) 3512-0148             ,R. BASÍLIO ROCHA                    ,89      ,GETÚLIO VARGAS  ,49055-110
MAIS SEMINOVOS.                                                                                ,"4,8"                              ,(60)                                    ,"AV. COELHO E CAMPOS, 894 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3013-6436             ,AV. COELHO E CAMPOS                 ,894     ,SANTO ANTÔNIO   ,49060-000
A CREDI-AUTO                                                                                   ,"4,4"                              ,(52)                                    ,"AV. COELHO E CAMPOS, 130 - SANTO ANTÔNIO, ARACAJU - SE, 49055-490"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3236-1948             ,AV. COELHO E CAMPOS                 ,130     ,SANTO ANTÔNIO   ,49055-490
