NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
SERGIPE VEICULOS                                                                               ,"4,6"                              ,(34)                                    ,"AV. PEDRO CALAZANS, 922 - CENTRO, ARACAJU - SE, 49055-520"                                                                                                           ,Revendedora de carros usados           ,(79) 3304-4956
NETTO VEÍCULOS - O DIFERENCIADO- CARROS SEMINOVOS EM ARACAJU                                   ,"4,9"                              ,(248)                                   ,"AV. MARANHÃO, 12 - SANTO ANTÔNIO, ARACAJU - SE, 49060-400"                                                                                                           ,Concessionária                         ,(79) 99649-1011
GORDINHO AUTOMÓVEIS ARACAJU-SE                                                                 ,"4,8"                              ,(76)                                    ,"AV. CARLOS BURLAMARQUI, 785 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Revendedora de carros usados           ,(79) 99952-1858
CHEVROLET CONTORNO ARACAJU                                                                     ,"4,4"                              ,(1.394)                                 ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,(79) 2107-9400
MATOS VEÍCULOS                                                                                 ,"4,8"                              ,(42)                                    ,"AV. JOÃO RIBEIRO, 537 - SANTO ANTÔNIO, ARACAJU - SE, 49060-330"                                                                                                      ,Revendedora de carros usados           ,(79) 99174-5216
EDSON VEÍCULOS                                                                                 ,"4,5"                              ,(85)                                    ,"AV. PEDRO CALAZANS, 92 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                    ,Revendedora de carros usados           ,(79) 99127-2103
ORIGINAL VEÍCULOS                                                                              ,"4,9"                              ,(16)                                    ,"AV. ENG. GENTIL TAVARES, 175 - GETÚLIO VARGAS, ARACAJU - SE, 49060-400"                                                                                              ,Revendedora de carros usados           ,(79) 99806-4406
KM VEÍCULOS                                                                                    ,"4,6"                              ,(41)                                    ,"AV. COELHO E CAMPOS, 989 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                  ,Concessionária                         ,(79) 98166-6505
GUIMA AUTOMÓVEIS                                                                               ,"4,1"                              ,(44)                                    ,"AV. HERMES FONTES, 288 - SUÍÇA, ARACAJU - SE, 49052-000"                                                                                                             ,Revendedora de carros usados           ,(79) 99814-8001
"MARACAR VEÍCULOS: CONCESSIONÁRIA, CARROS, SEMINOVOS, VOLKSWAGEN EM ARACAJU SE"                ,"4,1"                              ,(592)                                   ,"AV. PRES. TANCREDO NEVES, 1254 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Volkswagen              ,(79) 3212-6350
